n = 256 m = 257 n_x = n_y = 128
k,total_monomials,remaining_monomials
64,16513,8321
65,16513,8193
66,16513,8065
67,16513,7937
68,16513,7809
69,16513,7681
70,16513,7553
71,16513,7425
72,16513,7297
73,16513,7169
74,16513,7041
75,16513,6913
76,16513,6785
77,16513,6657
78,16513,6529
79,16513,6401
80,16513,6273
81,16513,6145
82,16513,6017
83,16513,5889
84,16513,5761
85,16513,5633
86,16513,5505
87,16513,5377
88,16513,5249
89,16513,5121
90,16513,4993
91,16513,4865
92,16513,4737
93,16513,4609
94,16513,4481
95,16513,4353
96,16513,4225
97,16513,4097
98,16513,3969
99,16513,3841
100,16513,3713
101,16513,3585
102,16513,3457
103,16513,3329
104,16513,3201
105,16513,3073
106,16513,2945
107,16513,2817
108,16513,2689
109,16513,2561
110,16513,2433
111,16513,2305
112,16513,2177
113,16513,2049
114,16513,1921
115,16513,1793
116,16513,1665
117,16513,1537
118,16513,1409
119,16513,1281
120,16513,1153
121,16513,1025
122,16513,897
123,16513,769
124,16513,641
125,16513,513
126,16513,385
127,16513,257
128,16513,129
